time         , active       , control_mode , commmand_nav , roll         , pitch        , yaw          , altitude     , airspeed     , yaw_nav      , yaw_error    , altitude_nav , roll_L1      , pitch_TECS   , throttle_TECS, aileron_rc   , elevator_rc  , rudder_rc    , throttle_rc  , aileron      , elevator     , rudder       , throttle     , debug1       , debug2       , debug3       , debug4       
741032000.0000, 0.0000       , 10.0000      , 22.0000      , 0.0016       , 0.0216       , -2.7057      , -0.0000      , 0.0003       , 0.4358       , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0016      , -0.0022      , -0.0008      , 5.0000       , 0.0000       , -0.0016      0.0000       , 49.9997      , 
741048000.0000, 0.0000       , 10.0000      , 22.0000      , 0.0016       , 0.0216       , -2.7057      , -0.0000      , 0.0003       , -2.7057      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0016      , -0.0022      , -0.0008      , 5.0000       , 0.0000       , -0.0016      0.0000       , 49.9997      , 
741065984.0000, 0.0000       , 10.0000      , 22.0000      , 0.0016       , 0.0216       , -2.7057      , -0.0000      , 0.0003       , -2.7057      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0016      , -0.0022      , -0.0008      , 5.0000       , 0.0000       , -0.0016      0.0000       , 49.9997      , 
741091008.0000, 0.0000       , 10.0000      , 22.0000      , 0.0016       , 0.0216       , -2.7057      , -0.0000      , 0.0003       , -2.7057      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0016      , -0.0022      , -0.0008      , 5.0000       , 0.0000       , -0.0016      0.0000       , 49.9997      , 
741110976.0000, 0.0000       , 10.0000      , 22.0000      , 0.0016       , 0.0216       , -2.7057      , -0.0000      , 0.0004       , -2.7057      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0016      , -0.0022      , -0.0008      , 5.0000       , 0.0000       , -0.0016      0.0000       , 49.9996      , 
741132032.0000, 0.0000       , 10.0000      , 22.0000      , 0.0016       , 0.0216       , -2.7057      , -0.0000      , 0.0004       , -2.7057      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0016      , -0.0022      , -0.0008      , 5.0000       , 0.0000       , -0.0016      0.0000       , 49.9996      , 
741152000.0000, 0.0000       , 10.0000      , 22.0000      , 0.0016       , 0.0216       , -2.7057      , -0.0000      , 0.0005       , -2.7057      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0016      , -0.0022      , -0.0008      , 5.0000       , 0.0000       , -0.0016      0.0000       , 49.9995      , 
741171008.0000, 0.0000       , 10.0000      , 22.0000      , 0.0016       , 0.0216       , -2.7057      , -0.0000      , 0.0007       , -2.7057      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0016      , -0.0022      , -0.0008      , 4.9999       , 0.0000       , -0.0016      0.0000       , 49.9993      , 
741195008.0000, 0.0000       , 10.0000      , 22.0000      , 0.0016       , 0.0217       , -2.7057      , -0.0000      , 0.0009       , -2.7057      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0016      , -0.0022      , -0.0008      , 4.9999       , 0.0000       , -0.0016      0.0000       , 49.9991      , 
741225024.0000, 0.0000       , 10.0000      , 22.0000      , 0.0015       , 0.0217       , -2.7057      , -0.0000      , 0.0011       , -2.7057      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0015      , -0.0022      , -0.0008      , 4.9999       , 0.0000       , -0.0015      0.0000       , 49.9989      , 
741249984.0000, 0.0000       , 10.0000      , 22.0000      , 0.0015       , 0.0217       , -2.7057      , -0.0000      , 0.0012       , -2.7057      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0015      , -0.0022      , -0.0008      , 4.9999       , 0.0000       , -0.0015      0.0000       , 49.9988      , 
741251968.0000, 0.0000       , 10.0000      , 22.0000      , 0.0015       , 0.0217       , -2.7057      , -0.0000      , 0.0012       , -2.7057      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0015      , -0.0022      , -0.0008      , 4.9999       , 0.0000       , -0.0015      0.0000       , 49.9988      , 
741272000.0000, 0.0000       , 10.0000      , 22.0000      , 0.0015       , 0.0217       , -2.7057      , -0.0000      , 0.0013       , -2.7057      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0015      , -0.0022      , -0.0008      , 4.9999       , 0.0000       , -0.0015      0.0000       , 49.9987      , 
741291008.0000, 0.0000       , 10.0000      , 22.0000      , 0.0015       , 0.0217       , -2.7057      , -0.0000      , 0.0014       , -2.7057      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0015      , -0.0022      , -0.0008      , 4.9999       , 0.0000       , -0.0015      0.0000       , 49.9986      , 
741312000.0000, 0.0000       , 10.0000      , 22.0000      , 0.0015       , 0.0218       , -2.7056      , -0.0000      , 0.0015       , -2.7057      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0015      , -0.0022      , -0.0008      , 4.9999       , 0.0000       , -0.0015      0.0000       , 49.9985      , 
741334016.0000, 0.0000       , 10.0000      , 22.0000      , 0.0015       , 0.0218       , -2.7056      , -0.0000      , 0.0016       , -2.7057      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0015      , -0.0022      , -0.0008      , 4.9998       , 0.0000       , -0.0015      0.0000       , 49.9984      , 
741361024.0000, 0.0000       , 10.0000      , 22.0000      , 0.0015       , 0.0218       , -2.7056      , -0.0000      , 0.0016       , -2.7056      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0015      , -0.0022      , -0.0008      , 4.9998       , 0.0000       , -0.0015      0.0000       , 49.9984      , 
741384000.0000, 0.0000       , 10.0000      , 22.0000      , 0.0015       , 0.0218       , -2.7056      , -0.0000      , 0.0016       , -2.7056      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0015      , -0.0022      , -0.0008      , 4.9998       , 0.0000       , -0.0015      0.0000       , 49.9984      , 
741401984.0000, 0.0000       , 10.0000      , 22.0000      , 0.0015       , 0.0219       , -2.7056      , -0.0100      , 0.0016       , -2.7056      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0015      , 0.0008       , -0.0008      , 4.9998       , 0.0000       , -0.0015      0.0300       , 49.9984      , 
741430976.0000, 0.0000       , 10.0000      , 22.0000      , 0.0015       , 0.0219       , -2.7056      , -0.0100      , 0.0016       , -2.7056      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0015      , 0.0008       , -0.0008      , 4.9998       , 0.0000       , -0.0015      0.0300       , 49.9984      , 
741433024.0000, 0.0000       , 10.0000      , 22.0000      , 0.0015       , 0.0219       , -2.7056      , -0.0100      , 0.0016       , -2.7056      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0015      , 0.0008       , -0.0008      , 4.9998       , 0.0000       , -0.0015      0.0300       , 49.9984      , 
741459008.0000, 0.0000       , 10.0000      , 22.0000      , 0.0015       , 0.0219       , -2.7056      , -0.0100      , 0.0016       , -2.7056      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0015      , 0.0008       , -0.0008      , 4.9998       , 0.0000       , -0.0015      0.0300       , 49.9984      , 
741484992.0000, 0.0000       , 10.0000      , 22.0000      , 0.0015       , 0.0219       , -2.7055      , -0.0100      , 0.0015       , -2.7056      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0015      , 0.0008       , -0.0008      , 4.9998       , 0.0000       , -0.0015      0.0300       , 49.9985      , 
741505984.0000, 0.0000       , 10.0000      , 22.0000      , 0.0015       , 0.0219       , -2.7055      , -0.0100      , 0.0015       , -2.7056      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0015      , 0.0008       , -0.0008      , 4.9999       , 0.0000       , -0.0015      0.0300       , 49.9985      , 
741537984.0000, 0.0000       , 10.0000      , 22.0000      , 0.0015       , 0.0220       , -2.7055      , -0.0100      , 0.0014       , -2.7056      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0015      , 0.0008       , -0.0008      , 4.9999       , 0.0000       , -0.0015      0.0300       , 49.9986      , 
741566976.0000, 0.0000       , 10.0000      , 22.0000      , 0.0015       , 0.0220       , -2.7055      , -0.0100      , 0.0012       , -2.7056      , 0.0000       , 0.0000       , 0.0000       , 0.0871       , 0.0000       , -4500.0000   , -4500.0000   , -4500.0000   , 100.0000     , -0.0015      , 0.0008       , -0.0008      , 4.9999       , 0.0000       , -0.0015      0.0300       , 49.9987      , 
